name,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
matmul.py::test_mm_100,0.00020615899848053232,0.0015861949996178737,0.00023398692163073835,9.898159739244783e-05,0.00022309250016405713,9.182999747281428e-06,7;31,4273.743135003629,472,1
matmul.py::test_mm_200,0.001278206998904352,0.015339097999458318,0.0013923119166578638,0.0006001732007000392,0.0013374520003708312,3.377099892531987e-05,13;56,718.2298650437626,780,1
matmul.py::test_mm_300,0.002982040999995661,0.0168365610006731,0.0031678361865766246,0.0007730514730557209,0.0030987379996076925,5.239425127001596e-05,4;31,315.6728887173509,327,1
matmul.py::test_mm_400,0.005466190999868559,0.020384182998895994,0.005757839011059534,0.0011269216119486666,0.005610540499219496,9.906100149237318e-05,4;17,173.6762695308468,180,1
matmul.py::test_mm_500,0.00847896900086198,0.016079211000032956,0.009394739909112104,0.0009359802929759855,0.009179055000458902,0.0003208519992767833,6;9,106.44254228156805,110,1
matmul.py::test_mm_600,0.011607114000071306,0.02912205399843515,0.015271593894651329,0.005021485652500229,0.013087413500215916,0.0037680440000258386,10;10,65.48104977766837,76,1
matmul.py::test_mm_700,0.016985509999358328,0.03276322500096285,0.020054704408928294,0.004217286473058801,0.018293087999154523,0.002434625000205415,4;5,49.86361202884661,44,1
matmul.py::test_mm_800,0.020957713000825606,0.058658569998442545,0.02666147157140672,0.007963936395044979,0.023023609499432496,0.006306873001449276,6;4,37.50730702623545,42,1
matmul.py::test_mm_900,0.028045058001225698,0.06372932500016759,0.03516018760615914,0.007828475407447216,0.03151954999884765,0.011047651999433583,4;1,28.441258937561138,33,1
matmul.py::test_mm_1000,0.04496844899949792,0.09129899599975033,0.052826043526166405,0.009788158369953994,0.050073750000592554,0.002534091750476364,1;5,18.930056715390172,19,1
